Resultant_noslip,laplace_noslip,Resultant Slip,Laplace Slip,Label
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,-1.95399E-14,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,-1.95399E-14,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,3.19744E-14,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,3.19744E-14,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,-2.13163E-14,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,-2.13163E-14,0
9.999781967,3.90799E-14,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,-4.9738E-14,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,3.90799E-14,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,-4.9738E-14,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,1.95399E-14,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,1.95399E-14,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,-1.95399E-14,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,1.95399E-14,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
9.999781967,0,9.999781967,0,0
